candidate_dataset_mention_original,match_type,candidate_family_hint,documents_referencing,total_page_rows,total_page_occurrences
NASA,seed_term,remote sensing imagery/source,11,19,21
ArcGIS,seed_term,seed term,10,26,44
Planet,seed_term,remote sensing imagery/source,10,24,30
Indigenous Lands,seed_term,official registry / boundary / compliance list,10,21,29
Sentinel-2,seed_term,remote sensing imagery/source,10,22,29
High Carbon Stock Approach,seed_term,official registry / boundary / compliance list,10,15,16
Agrosatélite,seed_term,seed term,9,21,32
Dataset,generic_dataset_cue,generic candidate cue,9,17,26
Mapbiomas,seed_term,forest/land-cover monitoring dataset,9,14,21
Copernicus,seed_term,remote sensing imagery/source,9,13,16
data source,generic_dataset_cue,generic candidate cue,9,12,16
MODIS,seed_term,remote sensing imagery/source,8,19,30
ESA,seed_term,remote sensing imagery/source,8,23,26
Sentinel-1,seed_term,remote sensing imagery/source,8,17,25
data set,generic_dataset_cue,generic candidate cue,8,12,19
deforestation data,generic_dataset_cue,generic candidate cue,8,13,17
Global Forest Change,seed_term,forest/land-cover monitoring dataset,8,12,16
SICAR,seed_term,official registry / boundary / compliance list,8,9,16
INCRA,seed_term,official registry / boundary / compliance list,8,10,13
shapefile,generic_dataset_cue,generic candidate cue,8,11,13
Datasets,generic_dataset_cue,generic candidate cue,7,10,25
WDPA,seed_term,official registry / boundary / compliance list,7,11,22
Tree Cover Loss,seed_term,seed term,7,13,21
RADD,seed_term,forest/land-cover monitoring dataset,7,11,15
SIGEF,seed_term,official registry / boundary / compliance list,7,9,15
indigenous lands,seed_term,official registry / boundary / compliance list,7,12,15
land cover map,generic_dataset_cue,generic candidate cue,7,11,14
satellite image,generic_dataset_cue,generic candidate cue,7,11,13
Prodes,seed_term,forest/land-cover monitoring dataset,7,9,11
boundary data,generic_dataset_cue,generic candidate cue,7,11,11
FUNAI,seed_term,official registry / boundary / compliance list,7,8,9
Conservation Units,seed_term,official registry / boundary / compliance list,6,19,35
HCVRN,seed_term,assessment framework / dataset-like source,6,22,33
Universal Mill List,seed_term,platform/tool/derived dataset,6,19,22
QGIS,seed_term,seed term,6,15,19
Rural Environmental Registry,seed_term,seed term,6,13,17
Tree cover loss,seed_term,seed term,6,9,16
Earth Engine,seed_term,seed term,6,11,14
Google Earth Engine,seed_term,seed term,6,10,11
Cadastro Ambiental Rural,seed_term,official registry / boundary / compliance list,6,10,10
Forest 500,seed_term,platform/tool/derived dataset,5,31,99
polygon data,generic_dataset_cue,generic candidate cue,5,22,46
GFW Pro,seed_term,forest/land-cover monitoring dataset,5,15,22
Geospatial data,generic_dataset_cue,generic candidate cue,5,10,17
HCV assessments,seed_term,assessment framework / dataset-like source,5,15,17
Satellite Imagery,generic_dataset_cue,generic candidate cue,5,8,16
MAPBIOMAS,seed_term,forest/land-cover monitoring dataset,5,5,15
WHISP,seed_term,platform/tool/derived dataset,5,11,14
shapefiles,generic_dataset_cue,generic candidate cue,5,9,14
Terras Indígenas,seed_term,seed term,5,11,13
PRODES Cerrado,seed_term,forest/land-cover monitoring dataset,5,6,11
land cover maps,generic_dataset_cue,generic candidate cue,5,9,9
deforestation alert,generic_dataset_cue,generic candidate cue,5,6,8
trase,seed_term,platform/tool/derived dataset,5,5,8
NICFI,seed_term,remote sensing imagery/source,5,7,7
World Database on Protected Areas,seed_term,seed term,5,6,6
GeoRSPO,seed_term,platform/tool/derived dataset,4,10,23
risk map,generic_dataset_cue,generic candidate cue,4,9,22
Data Sources,generic_dataset_cue,generic candidate cue,4,6,14
deforestation alert system,seed_term,forest/land-cover monitoring dataset,4,5,9
Shapefile,generic_dataset_cue,generic candidate cue,4,5,8
risk maps,generic_dataset_cue,generic candidate cue,4,6,8
Deforestation data,generic_dataset_cue,generic candidate cue,4,6,7
land cover data,generic_dataset_cue,generic candidate cue,4,6,7
ACOP,seed_term,platform/tool/derived dataset,4,5,5
Google Maps,seed_term,seed term,4,5,5
Unidades de Conservação,seed_term,seed term,4,4,5
land use map,generic_dataset_cue,generic candidate cue,4,5,5
Data source,generic_dataset_cue,generic candidate cue,4,4,4
MAPBIOMAS Alerta,seed_term,forest/land-cover monitoring dataset,4,4,4
Satellite images,generic_dataset_cue,generic candidate cue,4,4,4
map layers,generic_dataset_cue,generic candidate cue,4,4,4
UML,seed_term,seed term,3,14,100
Sourcing Hub,seed_term,platform/tool/derived dataset,3,9,19
FAOSTAT,seed_term,seed term,3,9,13
Geospatial Data,generic_dataset_cue,generic candidate cue,3,5,10
remote sensing products,generic_dataset_cue,generic candidate cue,3,3,9
high conservation value,seed_term,assessment framework / dataset-like source,3,5,8
map layer,generic_dataset_cue,generic candidate cue,3,6,8
Databases,generic_dataset_cue,generic candidate cue,3,3,7
Lista Suja,seed_term,seed term,3,3,6
deforestation layer,generic_dataset_cue,generic candidate cue,3,5,6
concession boundaries,generic_dataset_cue,generic candidate cue,3,4,5
GIS data,generic_dataset_cue,generic candidate cue,3,4,4
Open Foris,seed_term,seed term,3,4,4
deforestation dataset,generic_dataset_cue,generic candidate cue,3,4,4
HCSA assessments,seed_term,assessment framework / dataset-like source,3,3,3
Terra-i,seed_term,seed term,3,3,3
land use data,generic_dataset_cue,generic candidate cue,3,3,3
mapbiomas,seed_term,forest/land-cover monitoring dataset,3,3,3
FREL,seed_term,seed term,2,36,178
SEI-PCS,seed_term,platform/tool/derived dataset,2,13,71
Whisp,seed_term,platform/tool/derived dataset,2,15,46
land cover datasets,generic_dataset_cue,generic candidate cue,2,11,13
Agroideal,seed_term,platform/tool/derived dataset,2,6,11
Collect Earth,seed_term,seed term,2,7,10
boundary map,generic_dataset_cue,generic candidate cue,2,10,10
Satellite imagery,generic_dataset_cue,generic candidate cue,2,6,9
Satellite Data,generic_dataset_cue,generic candidate cue,2,5,8
arcgis,seed_term,seed term,2,7,8
DATABASE,generic_dataset_cue,generic candidate cue,2,2,6
Deforestation Alert,generic_dataset_cue,generic candidate cue,2,3,6
SRTM,seed_term,remote sensing imagery/source,2,4,5
Agrosatelite,seed_term,seed term,2,3,4
Embargo List,seed_term,official registry / boundary / compliance list,2,3,4
Preferred by Nature Sourcing Hub,seed_term,platform/tool/derived dataset,2,3,4
Remote sensing data,generic_dataset_cue,generic candidate cue,2,3,4
agrosatelite,seed_term,seed term,2,4,4
deforestation map,generic_dataset_cue,generic candidate cue,2,2,4
land use maps,generic_dataset_cue,generic candidate cue,2,4,4
Deforestation Alerts,generic_dataset_cue,generic candidate cue,2,2,3
Hansen Tree Cover Loss,seed_term,forest/land-cover monitoring dataset,2,3,3
High conservation value,seed_term,assessment framework / dataset-like source,2,2,3
SEPAL,seed_term,seed term,2,3,3
USGS,seed_term,remote sensing imagery/source,2,3,3
GLAD alerts,seed_term,forest/land-cover monitoring dataset,2,2,2
MapBiomas Alerta,seed_term,forest/land-cover monitoring dataset,2,2,2
MapBiomas Collection,seed_term,forest/land-cover monitoring dataset,2,2,2
MapHubs,seed_term,seed term,2,2,2
OpenStreetMap,seed_term,seed term,2,2,2
PRODES Amazônia,seed_term,forest/land-cover monitoring dataset,2,2,2
Risk Map,generic_dataset_cue,generic candidate cue,2,2,2
Satellite Images,generic_dataset_cue,generic candidate cue,2,2,2
Spatial Data,generic_dataset_cue,generic candidate cue,2,2,2
Spatial data,generic_dataset_cue,generic candidate cue,2,2,2
prodes,seed_term,forest/land-cover monitoring dataset,2,2,2
remote sensing imagery,generic_dataset_cue,generic candidate cue,2,2,2
soy moratorium,seed_term,seed term,2,2,2
whisp,seed_term,platform/tool/derived dataset,2,2,2
RISK MAPS,generic_dataset_cue,generic candidate cue,1,12,29
EQUIVALENCE MECHANISM,seed_term,platform/tool/derived dataset,1,15,23
HCV ASSESSMENTS,seed_term,assessment framework / dataset-like source,1,10,16
Data Source,generic_dataset_cue,generic candidate cue,1,9,9
Equivalence Mechanism,seed_term,platform/tool/derived dataset,1,4,9
Shapefiles,generic_dataset_cue,generic candidate cue,1,1,6
DATA SOURCES,generic_dataset_cue,generic candidate cue,1,5,5
Polygon data,generic_dataset_cue,generic candidate cue,1,1,5
DATASETS,generic_dataset_cue,generic candidate cue,1,1,4
DEFORESTATION ALERT,generic_dataset_cue,generic candidate cue,1,1,4
Deforestation alert,generic_dataset_cue,generic candidate cue,1,4,4
Land cover datasets,generic_dataset_cue,generic candidate cue,1,3,4
hansen,seed_term,forest/land-cover monitoring dataset,1,2,4
GIS Data,generic_dataset_cue,generic candidate cue,1,2,3
HCV Assessments,seed_term,assessment framework / dataset-like source,1,1,3
Agroicone,seed_term,seed term,1,2,2
FOREST 500,seed_term,platform/tool/derived dataset,1,1,2
Imazon,seed_term,seed term,1,2,2
Land cover data,generic_dataset_cue,generic candidate cue,1,1,2
Land use map,generic_dataset_cue,generic candidate cue,1,1,2
SAD,seed_term,forest/land-cover monitoring dataset,1,2,2
Satellite data,generic_dataset_cue,generic candidate cue,1,2,2
UNIVERSAL MILL LIST,seed_term,platform/tool/derived dataset,1,1,2
VIIRS,seed_term,remote sensing imagery/source,1,2,2
deforestation maps,generic_dataset_cue,generic candidate cue,1,2,2
land cover dataset,generic_dataset_cue,generic candidate cue,1,2,2
polygon layer,generic_dataset_cue,generic candidate cue,1,1,2
polygon layers,generic_dataset_cue,generic candidate cue,1,2,2
terras indígenas,seed_term,seed term,1,1,2
Boundary Data,generic_dataset_cue,generic candidate cue,1,1,1
Concession boundary,generic_dataset_cue,generic candidate cue,1,1,1
Conservation units,seed_term,official registry / boundary / compliance list,1,1,1
Data sets,generic_dataset_cue,generic candidate cue,1,1,1
Deforestation Layer,generic_dataset_cue,generic candidate cue,1,1,1
Deforestation alerts,generic_dataset_cue,generic candidate cue,1,1,1
GFW PRO,seed_term,forest/land-cover monitoring dataset,1,1,1
GRASS,seed_term,seed term,1,1,1
Hansen tree cover loss,seed_term,forest/land-cover monitoring dataset,1,1,1
Indigenous lands,seed_term,official registry / boundary / compliance list,1,1,1
LANDSAT,seed_term,remote sensing imagery/source,1,1,1
LAPIG,seed_term,seed term,1,1,1
Land Cover Map,generic_dataset_cue,generic candidate cue,1,1,1
Land cover maps,generic_dataset_cue,generic candidate cue,1,1,1
Land use data,generic_dataset_cue,generic candidate cue,1,1,1
Map layer,generic_dataset_cue,generic candidate cue,1,1,1
Map layers,generic_dataset_cue,generic candidate cue,1,1,1
Maphubs,seed_term,seed term,1,1,1
OSM,seed_term,seed term,1,1,1
PLANET,seed_term,remote sensing imagery/source,1,1,1
RADD alerts,seed_term,forest/land-cover monitoring dataset,1,1,1
Risk maps,generic_dataset_cue,generic candidate cue,1,1,1
SNCI,seed_term,official registry / boundary / compliance list,1,1,1
TRASE,seed_term,platform/tool/derived dataset,1,1,1
Terra-I,seed_term,seed term,1,1,1
Unidades de conservação,seed_term,seed term,1,1,1
conservation units,seed_term,official registry / boundary / compliance list,1,1,1
copernicus,seed_term,remote sensing imagery/source,1,1,1
embargo list,seed_term,official registry / boundary / compliance list,1,1,1
landsat,seed_term,remote sensing imagery/source,1,1,1
lista suja,seed_term,seed term,1,1,1
polygon datasets,generic_dataset_cue,generic candidate cue,1,1,1
sentinel-2,seed_term,remote sensing imagery/source,1,1,1
